File Name,Table Size,Table Base,Words,Time,Collisions,Probe Total,Probe Max, Rehashes
english_small.txt,250727,1,84097,3.8979825999999997,82518,6234040,324,0
english_small.txt,250727,27183,84097,1.1149839999999998,12563,14002,4,0
english_small.txt,250727,250726,84097,12.3543676,83767,23577391,846,0
english_small.txt,402221,1,84097,3.9941347999999977,82518,6234040,324,0
english_small.txt,402221,27183,84097,1.1059438999999998,8245,8828,4,0
english_small.txt,402221,250726,84097,1.1238200999999997,8216,8780,4,0
english_small.txt,1000081,1,84097,3.9319917999999987,82518,6234040,324,0
english_small.txt,1000081,27183,84097,1.1345932000000012,3330,3422,3,0
english_small.txt,1000081,250726,84097,1.1500622000000007,3431,3535,2,0
english_large.txt,250727,1,194433,20.462109700000003,192641,31627695,661,0
english_large.txt,250727,27183,194433,2.6775207999999964,59210,75428,7,0
english_large.txt,250727,250726,194433,73.2227579,194146,122802089,1854,0
english_large.txt,402221,1,194433,20.323260600000012,192641,31627695,661,0
english_large.txt,402221,27183,194433,2.756353400000023,40297,47008,5,0
english_large.txt,402221,250726,194433,2.6843001999999956,40221,46956,5,0
english_large.txt,1000081,1,194433,20.588356300000015,192641,31627695,661,0
english_large.txt,1000081,27183,194433,2.7419286999999883,17516,18648,4,0
english_large.txt,1000081,250726,194433,2.7091366999999877,17540,18699,4,0
french.txt,250727,1,202358,13.629537800000008,198901,19671787,449,0
french.txt,250727,27183,202358,2.9115672000000075,63916,82385,7,0
french.txt,250727,250726,202358,29.35241959999999,199669,49612660,1093,0
french.txt,402221,1,202358,13.428371499999997,198901,19671787,449,0
french.txt,402221,27183,202358,2.9292493000000093,43261,50774,6,0
french.txt,402221,250726,202358,2.9695912999999905,43160,50592,6,0
french.txt,1000081,1,202358,13.634818100000018,198901,19671787,449,0
french.txt,1000081,27183,202358,2.9543535999999904,19366,20727,4,0
french.txt,1000081,250726,202358,2.9277377999999885,18981,20228,4,0
